Date,Open,High,Low,Close,Volume
12/31/2007,"41.69","42.57","41.58","42.41","476,140"
12/28/2007,"42.26","42.39","41.68","42.17","320,027"
12/27/2007,"41.96","42.26","41.44","41.86","461,320"
12/26/2007,"41.20","42.87","40.96","42.39","423,000"
12/24/2007,"41.25","42.36","40.45","41.95","355,062"
12/21/2007,"43.88","43.88","41.61","41.95","767,700"
12/20/2007,"42.49","43.54","42.26","43.10","508,405"
12/19/2007,"41.36","42.94","40.70","42.42","729,900"
12/18/2007,"42.96","43.74","41.15","41.94","1,492,460"
12/17/2007,"47.69","48.20","37.50","42.80","4,865,962"
12/14/2007,"48.24","48.24","46.51","46.89","906,463"
12/13/2007,"47.29","48.29","45.84","48.29","1,144,486"
12/12/2007,"47.55","49.55","46.94","47.34","2,119,562"
12/11/2007,"46.10","48.39","45.65","46.62","3,140,326"
12/10/2007,"44.37","45.44","44.04","45.25","2,604,746"
12/07/2007,"45.00","45.20","42.28","43.21","2,271,321"
12/06/2007,"42.40","44.52","42.01","44.48","1,897,559"
12/05/2007,"41.13","44.15","40.74","41.72","3,717,124"
12/04/2007,"39.00","40.78","39.00","40.69","1,365,413"
12/03/2007,"39.22","39.44","38.04","39.27","1,040,450"
11/30/2007,"41.00","41.41","38.61","38.91","1,576,992"
11/29/2007,"40.00","41.17","39.16","40.10","2,894,567"
11/28/2007,"36.76","37.58","36.53","36.57","1,088,085"
11/27/2007,"37.68","38.20","36.34","36.68","1,398,098"
11/26/2007,"39.09","39.52","37.25","37.38","1,439,705"
11/23/2007,"37.52","39.40","37.35","38.98","1,454,240"
11/21/2007,"37.39","37.55","35.67","37.11","1,367,608"
11/20/2007,"37.77","38.91","36.69","37.48","4,459,337"
11/19/2007,"33.68","36.21","33.05","35.01","3,661,595"
11/16/2007,"33.64","34.43","33.20","34.20","1,128,395"
11/15/2007,"33.85","34.50","33.29","33.75","1,123,195"
11/14/2007,"36.00","36.00","32.50","34.61","3,019,854"
11/13/2007,"35.78","36.46","34.76","35.37","2,658,364"
11/12/2007,"33.72","35.96","32.79","35.30","4,914,343"
11/09/2007,"31.00","34.16","30.61","33.35","3,886,204"
11/08/2007,"32.01","32.82","30.06","32.00","2,724,432"
11/07/2007,"33.06","34.38","31.50","31.75","4,117,987"
11/06/2007,"35.83","36.24","33.90","35.54","5,550,530"
11/05/2007,"38.60","39.55","31.56","33.30","20,797,461"
11/02/2007,"23.89","27.94","23.01","27.37","11,702,300"
11/01/2007,"22.93","26.65","22.50","22.87","8,987,500"
10/31/2007,"22.40","25.86","20.81","24.19","17,208,199"
10/30/2007,"28.34","29.33","21.41","22.04","28,784,699"
10/29/2007,"31.55","34.65","27.41","28.62","16,575,650"
10/26/2007,"44.02","44.29","30.68","31.36","30,874,801"
10/25/2007,"64.00","80.00","27.50","42.67","36,664,898"
10/24/2007,"120.97","121.50","114.93","115.17","426,700"
10/23/2007,"120.07","128.42","118.55","122.27","597,600"
10/22/2007,"115.81","119.45","115.50","119.26","513,500"
10/19/2007,"116.96","117.52","115.79","116.23","676,000"
10/18/2007,"113.47","118.10","113.47","117.16","1,230,000"
10/17/2007,"113.21","113.69","111.92","113.52","580,900"
10/16/2007,"112.73","113.36","111.70","112.50","255,600"
10/15/2007,"113.13","113.73","111.33","113.03","371,800"
10/12/2007,"111.93","113.63","111.43","113.32","252,600"
10/11/2007,"114.61","115.58","110.71","111.92","549,300"
10/10/2007,"110.81","113.80","110.81","113.55","426,700"
10/09/2007,"109.66","111.85","108.95","111.60","318,800"
10/08/2007,"108.73","110.46","108.73","109.37","434,100"
10/05/2007,"109.77","110.88","108.11","108.80","541,900"
10/04/2007,"112.24","112.83","110.05","110.38","242,500"
10/03/2007,"110.55","112.50","110.23","111.84","461,800"
10/02/2007,"110.04","111.67","108.00","110.54","443,400"
10/01/2007,"106.13","110.12","105.94","110.04","444,900"
09/28/2007,"108.55","108.73","104.21","105.43","710,800"
09/27/2007,"110.07","110.39","107.38","108.93","582,600"
09/26/2007,"109.99","110.87","108.40","109.27","471,300"
09/25/2007,"105.38","109.83","105.38","109.62","622,500"
09/24/2007,"106.80","108.91","105.78","106.13","568,700"
09/21/2007,"106.10","107.24","105.68","107.09","893,600"
09/20/2007,"103.84","105.49","103.53","105.37","450,100"
09/19/2007,"103.82","105.10","103.06","103.94","344,600"
09/18/2007,"101.48","104.31","101.18","103.42","466,500"
09/17/2007,"99.75","101.45","99.73","101.20","864,900"
09/14/2007,"100.60","101.00","99.55","99.71","533,400"
09/13/2007,"101.48","101.90","100.54","101.00","344,400"
09/12/2007,"100.99","102.66","100.50","101.22","824,300"
09/11/2007,"99.00","102.00","98.51","100.89","471,000"
09/10/2007,"99.34","99.86","97.11","98.75","335,900"
09/07/2007,"99.91","99.91","97.25","99.56","621,800"
09/06/2007,"99.97","101.54","99.42","100.91","507,200"
09/05/2007,"100.40","101.77","98.39","99.42","624,100"
09/04/2007,"98.55","100.98","98.35","100.55","447,200"
