Date,Open,High,Low,Close,Volume
12/29/2006,"69.13","69.98","68.70","68.90","618,200"
12/28/2006,"69.42","69.81","68.46","69.03","383,500"
12/27/2006,"68.90","70.21","68.85","69.42","522,200"
12/26/2006,"69.12","69.90","68.30","68.84","369,100"
12/22/2006,"70.84","70.84","68.97","69.18","404,000"
12/21/2006,"70.43","71.64","69.97","70.72","423,900"
12/20/2006,"69.90","70.79","69.73","70.23","254,400"
12/19/2006,"69.97","70.43","68.72","70.00","515,100"
12/18/2006,"69.43","71.05","69.34","70.17","797,200"
12/15/2006,"69.50","71.51","68.72","69.23","1,032,500"
12/14/2006,"68.62","70.05","68.51","69.50","661,200"
12/13/2006,"69.33","69.44","67.90","68.61","503,400"
12/12/2006,"68.34","69.24","68.03","69.08","461,400"
12/11/2006,"68.11","68.99","67.43","68.54","456,700"
12/08/2006,"67.97","68.32","66.58","68.10","434,000"
12/07/2006,"66.88","68.75","66.84","67.97","686,200"
12/06/2006,"67.05","67.93","66.12","66.98","618,100"
12/05/2006,"66.50","67.47","66.11","67.13","543,100"
12/04/2006,"66.00","67.75","65.55","66.58","637,300"
12/01/2006,"64.56","64.91","63.79","64.89","567,800"
11/30/2006,"64.15","65.07","63.86","64.57","668,700"
11/29/2006,"63.91","64.31","63.30","63.55","394,800"
11/28/2006,"63.14","64.36","62.89","63.96","401,000"
11/27/2006,"63.86","64.39","62.80","63.14","643,500"
11/24/2006,"63.34","64.39","63.23","63.76","114,700"
11/22/2006,"64.20","64.26","62.96","63.34","443,100"
11/21/2006,"64.45","64.58","63.60","64.01","869,100"
11/20/2006,"63.85","64.49","63.20","64.01","753,600"
11/17/2006,"64.05","64.55","63.05","63.63","582,800"
11/16/2006,"62.36","65.22","62.14","63.91","1,139,900"
11/15/2006,"61.50","63.17","61.43","62.35","835,700"
11/14/2006,"60.05","62.44","60.00","62.20","1,414,400"
11/13/2006,"57.95","60.49","57.65","59.90","1,989,300"
11/10/2006,"56.67","57.99","55.76","56.00","1,225,500"
11/09/2006,"59.50","60.50","55.56","56.92","2,054,700"
11/08/2006,"62.75","62.76","58.65","59.50","2,063,500"
11/07/2006,"62.63","63.75","61.97","63.32","1,026,500"
11/06/2006,"59.12","63.40","59.12","62.62","911,900"
11/03/2006,"63.00","63.00","59.04","59.10","1,435,300"
11/02/2006,"61.09","63.53","59.75","61.39","2,437,500"
11/01/2006,"58.98","59.71","56.39","57.04","718,800"
10/31/2006,"59.44","59.74","58.21","58.75","581,800"
10/30/2006,"62.25","62.25","59.20","59.44","626,900"
10/27/2006,"60.72","62.60","60.37","62.25","661,900"
10/26/2006,"60.00","60.77","59.84","60.72","454,600"
10/25/2006,"59.41","59.64","58.29","59.59","374,400"
10/24/2006,"59.12","60.80","58.72","59.16","471,400"
10/23/2006,"57.90","58.74","57.90","58.52","370,100"
10/20/2006,"56.85","57.99","56.81","57.90","463,300"
10/19/2006,"56.69","56.85","56.40","56.75","498,300"
10/18/2006,"57.46","58.10","56.18","56.85","475,300"
10/17/2006,"57.33","57.62","56.11","57.45","392,300"
10/16/2006,"56.29","57.83","56.05","57.29","465,300"
10/13/2006,"58.16","59.17","56.20","56.47","960,500"
10/12/2006,"59.17","59.56","56.15","58.21","1,213,200"
10/11/2006,"59.60","59.71","58.82","59.22","250,100"
10/10/2006,"59.87","60.00","59.45","59.70","303,600"
10/09/2006,"59.75","60.04","58.77","59.86","252,200"
10/06/2006,"59.67","59.94","59.00","59.65","224,600"
